School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,087,MONTGOMERY,435,Montgomery County,070,McNabb Middle School,435070,087435070,210425000000,CKEC,901,A1,ATSI,Middle School,N,4,Disability
20242025,089,MUHLENBERG,445,Muhlenberg County,150,Muhlenberg County Middle School,445150,089445150,210008000000,WKEC,908,A1,TSI,Middle School,N,,Disability
20242025,090,NELSON,451,Nelson County,010,Bloomfield Middle School,451010,090451010,210441000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,090,NELSON,451,Nelson County,070,Foster Heights Elementary School,451070,090451070,210441000000,CKEC,901,A1,ATSI,Elementary School,Y,3,Disability
20242025,090,NELSON,451,Nelson County,090,Old Kentucky Home Middle School,451090,090451090,210441000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,019,CAMPBELL,452,Newport Independent,020,Newport Primary School,452020,019452020,210444000000,NKCES,905,A1,ATSI,Elementary School,Y,4,African American
20242025,019,CAMPBELL,452,Newport Independent,040,Newport Intermediate School,452040,019452040,210444001100,NKCES,905,A1,ATSI,Elementary School,Y,4,African American
20242025,092,OHIO,461,Ohio County,155,Ohio County High School,461155,092461155,210450000000,GRREC,902,A1,ATSI,High School,N,4,English Learners plus Monitored
20242025,093,OLDHAM,465,Oldham County,070,Oldham County Middle School,465070,093465070,210453000000,OVEC,906,A1,TSI,Middle School,N,,English Learners plus Monitored
20242025,094,OWEN,471,Owen County,078,Maurice Bowling Middle School,471078,094471078,210456000000,OVEC,906,A1,ATSI,Middle School,Y,4,Disability
20242025,030,DAVIESS,472,Owensboro Independent,108,Owensboro Middle School,472108,030472108,210459000000,GRREC,902,A1,ATSI,Middle School,Y,4,English Learners plus Monitored
20242025,079,MCCRACKEN,476,Paducah Independent,010,Paducah Middle School,476010,079476010,210465000000,WKEC,908,A1,ATSI,Middle School,Y,4,Disability
20242025,096,PENDLETON,481,Pendleton County,061,Phillip Sharp Middle School,481061,096481061,210474000000,NKCES,905,A1,ATSI,Middle School,Y,4,Disability
20242025,097,PERRY,485,Perry County,635,Robert W Combs Elementary School,485635,097485635,210477000000,KVEC,904,A1,TSI,Elementary School,Y,,Disability
20242025,099,POWELL,495,Powell County,015,Powell County Middle School,495015,099495015,210489000000,CKEC,901,A1,CSI,Middle School,Y,1,Bottom 5%
20242025,071,LOGAN,523,Russellville Independent,025,R E Stevenson Elementary School,523025,071523025,210519000000,GRREC,902,A1,ATSI,Elementary School,Y,4,Disability
20242025,105,SCOTT,525,Scott County,012,Anne Mason Elementary School,525012,105525012,210526000000,CKEC,901,A1,ATSI,Elementary School,Y,4,Disability
20242025,105,SCOTT,525,Scott County,018,Georgetown Middle School,525018,105525018,210526000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,105,SCOTT,525,Scott County,029,Creekside Elementary,525029,105525029,210526000000,CKEC,901,A1,TSI,Elementary School,Y,,Disability
20242025,105,SCOTT,525,Scott County,040,Scott County High School,525040,105525040,210526000000,CKEC,901,A1,ATSI,High School,N,4,Disability
