School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,056,JEFFERSON,275,Jefferson County,102,Chancey Elementary,275102,056275102,210299000000,GREC,909,A1,TSI,Elementary School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,104,Trunnell Elementary,275104,056275104,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,119,Crosby Middle,275119,056275119,210299000000,GREC,909,A1,ATSI,Middle School,N,4,African American; Disability
20242025,056,JEFFERSON,275,Jefferson County,121,Hartstern Elementary,275121,056275121,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,128,Price Elementary,275128,056275128,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4,Disability
20242025,056,JEFFERSON,275,Jefferson County,133,Lassiter Middle,275133,056275133,210299000000,GREC,909,A1,ATSI,Middle School,Y,4,African American; English Learners plus Monitored; Disability
20242025,056,JEFFERSON,275,Jefferson County,144,Stuart Middle School,275144,056275144,210299000000,GREC,909,A1,CSI,Middle School,Y,5,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,147,Mill Creek Elementary,275147,056275147,210299000000,GREC,909,A1,CSI,Elementary School,Y,5,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,149,Blake Elementary,275149,056275149,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,155,Marion C. Moore School,275155,056275155,210299000000,GREC,909,A1,CSI,High School,Y,4,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,155,Marion C. Moore School,275155,056275155,210299000000,GREC,909,A1,CSI,Middle School,Y,4,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,162,Kammerer Middle,275162,056275162,210299000000,GREC,909,A1,ATSI,Middle School,N,4,African American; Disability
20242025,056,JEFFERSON,275,Jefferson County,163,Knight Middle,275163,056275163,210299000000,GREC,909,A1,CSI,Middle School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,164,Conway Middle,275164,056275164,210299000000,GREC,909,A1,CSI,Middle School,Y,5,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,166,Jeffersontown Elementary,275166,056275166,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4,African American; Disability
20242025,056,JEFFERSON,275,Jefferson County,167,Carrithers Middle,275167,056275167,210299000000,GREC,909,A1,ATSI,Middle School,Y,4,English Learners plus Monitored; Economically Disadvantaged; Disability
